,season,md,home_team,away_team,home_goals,away_goals,year
26,1963/1964,4,1. FC Cologne,FC Schalke 04,2,2,1964
27,1963/1964,4,Hamburger SV,Eintracht Frankfurt,3,0,1964
28,1963/1964,4,VfB Stuttgart,TSV 1860 München,1,1,1964
29,1963/1964,4,Borussia Dortmund,1. FC Saarbrücken,2,1,1964
30,1963/1964,4,Meidericher SV,Hertha BSC,1,3,1964
31,1963/1964,4,1. FC Kaiserslautern,SV Werder Bremen,3,0,1964
32,1963/1964,5,SV Werder Bremen,Meidericher SV,1,1,1964
33,1963/1964,5,SC Preußen Münster,VfB Stuttgart,4,2,1964
34,1963/1964,5,FC Schalke 04,Hamburger SV,1,0,1964
35,1963/1964,5,1. FC Saarbrücken,1. FC Nürnberg,3,5,1964
36,1963/1964,5,Hertha BSC,1. FC Cologne,0,3,1964
37,1963/1964,5,Karlsruher SC,Borussia Dortmund,1,3,1964
38,1963/1964,5,Eintracht Frankfurt,Eintracht Braunschweig,3,0,1964
39,1963/1964,5,TSV 1860 München,1. FC Kaiserslautern,3,0,1964
40,1963/1964,6,Meidericher SV,TSV 1860 München,3,0,1964
41,1963/1964,6,1. FC Kaiserslautern,SC Preußen Münster,0,0,1964
42,1963/1964,6,VfB Stuttgart,1. FC Saarbrücken,3,1,1964
43,1963/1964,6,1. FC Nürnberg,Karlsruher SC,2,4,1964
44,1963/1964,6,1. FC Cologne,SV Werder Bremen,4,3,1964
45,1963/1964,6,Eintracht Braunschweig,FC Schalke 04,4,3,1964
46,1963/1964,6,Borussia Dortmund,Eintracht Frankfurt,3,0,1964
47,1963/1964,6,Hamburger SV,Hertha BSC,5,1,1964
48,1963/1964,7,Hertha BSC,Eintracht Braunschweig,1,2,1964
49,1963/1964,7,Eintracht Frankfurt,1. FC Cologne,2,1,1964
50,1963/1964,7,TSV 1860 München,1. FC Nürnberg,5,0,1964
51,1963/1964,7,Karlsruher SC,VfB Stuttgart,0,3,1964
52,1963/1964,7,FC Schalke 04,Meidericher SV,2,2,1964
53,1963/1964,7,1. FC Saarbrücken,1. FC Kaiserslautern,2,4,1964
54,1963/1964,7,SV Werder Bremen,Hamburger SV,4,2,1964
55,1963/1964,7,SC Preußen Münster,Borussia Dortmund,1,2,1964
56,1963/1964,8,Eintracht Braunschweig,SV Werder Bremen,1,1,1964
57,1963/1964,8,1. FC Kaiserslautern,Karlsruher SC,1,0,1964
58,1963/1964,8,1. FC Nürnberg,FC Schalke 04,0,2,1964
59,1963/1964,8,Borussia Dortmund,Hertha BSC,7,2,1964
60,1963/1964,8,VfB Stuttgart,Eintracht Frankfurt,0,0,1964
61,1963/1964,8,1. FC Cologne,SC Preußen Münster,3,0,1964
62,1963/1964,8,Hamburger SV,TSV 1860 München,5,0,1964
63,1963/1964,8,Meidericher SV,1. FC Saarbrücken,3,1,1964
64,1963/1964,9,1. FC Saarbrücken,Karlsruher SC,1,3,1964
65,1963/1964,9,Hertha BSC,Eintracht Frankfurt,1,3,1964
66,1963/1964,9,SC Preußen Münster,TSV 1860 München,0,0,1964
67,1963/1964,9,1. FC Nürnberg,1. FC Kaiserslautern,0,5,1964
68,1963/1964,9,1. FC Cologne,Meidericher SV,3,3,1964
69,1963/1964,9,Hamburger SV,Eintracht Braunschweig,2,1,1964
70,1963/1964,9,VfB Stuttgart,Borussia Dortmund,2,1,1964
71,1963/1964,9,FC Schalke 04,SV Werder Bremen,2,3,1964
72,1963/1964,10,Eintracht Frankfurt,FC Schalke 04,4,2,1964
73,1963/1964,10,Eintracht Braunschweig,1. FC Cologne,1,1,1964
74,1963/1964,10,Karlsruher SC,SC Preußen Münster,4,2,1964
75,1963/1964,10,Borussia Dortmund,1. FC Nürnberg,3,1,1964
76,1963/1964,10,SV Werder Bremen,Hertha BSC,2,2,1964
77,1963/1964,10,TSV 1860 München,1. FC Saarbrücken,7,1,1964
78,1963/1964,10,1. FC Kaiserslautern,VfB Stuttgart,1,3,1964
79,1963/1964,10,Meidericher SV,Hamburger SV,4,0,1964
80,1963/1964,11,Borussia Dortmund,1. FC Kaiserslautern,9,3,1964
81,1963/1964,11,SV Werder Bremen,Eintracht Frankfurt,4,1,1964
82,1963/1964,11,TSV 1860 München,Karlsruher SC,1,0,1964
83,1963/1964,11,1. FC Cologne,Hamburger SV,4,1,1964
84,1963/1964,11,Eintracht Braunschweig,Meidericher SV,0,0,1964
85,1963/1964,11,1. FC Saarbrücken,SC Preußen Münster,1,1,1964
86,1963/1964,11,VfB Stuttgart,1. FC Nürnberg,1,0,1964
87,1963/1964,11,FC Schalke 04,Hertha BSC,1,0,1964
88,1963/1964,12,Karlsruher SC,SV Werder Bremen,1,1,1964
89,1963/1964,12,1. FC Kaiserslautern,Eintracht Braunschweig,2,1,1964
90,1963/1964,12,Eintracht Frankfurt,TSV 1860 München,5,2,1964
91,1963/1964,12,1. FC Nürnberg,1. FC Cologne,2,2,1964
92,1963/1964,12,Hamburger SV,VfB Stuttgart,1,1,1964
93,1963/1964,12,Meidericher SV,Borussia Dortmund,3,3,1964
94,1963/1964,12,SC Preußen Münster,FC Schalke 04,2,2,1964
95,1963/1964,12,Hertha BSC,1. FC Saarbrücken,3,2,1964
96,1963/1964,13,1. FC Nürnberg,Meidericher SV,2,0,1964
97,1963/1964,13,Eintracht Frankfurt,SC Preußen Münster,3,0,1964
98,1963/1964,13,SV Werder Bremen,1. FC Saarbrücken,0,3,1964
99,1963/1964,13,VfB Stuttgart,Eintracht Braunschweig,5,0,1964
100,1963/1964,13,1. FC Kaiserslautern,Hamburger SV,3,2,1964
101,1963/1964,13,Hertha BSC,Karlsruher SC,2,3,1964
102,1963/1964,13,FC Schalke 04,TSV 1860 München,2,1,1964
103,1963/1964,13,Borussia Dortmund,1. FC Cologne,2,3,1964
104,1963/1964,14,Meidericher SV,VfB Stuttgart,3,0,1964
105,1963/1964,14,Karlsruher SC,FC Schalke 04,1,1,1964
106,1963/1964,14,Hamburger SV,Borussia Dortmund,2,1,1964
107,1963/1964,14,Eintracht Braunschweig,1. FC Nürnberg,2,0,1964
108,1963/1964,14,1. FC Cologne,1. FC Kaiserslautern,5,1,1964
109,1963/1964,14,1. FC Saarbrücken,Eintracht Frankfurt,0,4,1964
110,1963/1964,14,TSV 1860 München,Hertha BSC,1,2,1964
111,1963/1964,14,SC Preußen Münster,SV Werder Bremen,1,3,1964
112,1963/1964,15,VfB Stuttgart,1. FC Cologne,0,1,1964
113,1963/1964,15,FC Schalke 04,1. FC Saarbrücken,4,1,1964
114,1963/1964,15,Hertha BSC,SC Preußen Münster,2,0,1964
115,1963/1964,15,1. FC Nürnberg,Hamburger SV,3,2,1964
116,1963/1964,15,Eintracht Frankfurt,Karlsruher SC,0,3,1964
117,1963/1964,15,SV Werder Bremen,TSV 1860 München,4,1,1964
118,1963/1964,15,1. FC Kaiserslautern,Meidericher SV,1,1,1964
119,1963/1964,15,Borussia Dortmund,Eintracht Braunschweig,3,0,1964
120,1963/1964,16,1. FC Kaiserslautern,Eintracht Frankfurt,1,1,1964
121,1963/1964,16,Borussia Dortmund,SV Werder Bremen,4,3,1964
122,1963/1964,16,1. FC Cologne,1. FC Saarbrücken,1,3,1964
123,1963/1964,16,Hamburger SV,SC Preußen Münster,5,0,1964
124,1963/1964,16,Meidericher SV,Karlsruher SC,2,0,1964
125,1963/1964,16,1. FC Nürnberg,Hertha BSC,2,3,1964
126,1963/1964,16,Eintracht Braunschweig,TSV 1860 München,0,1,1964
127,1963/1964,16,VfB Stuttgart,FC Schalke 04,2,0,1964
128,1963/1964,17,SV Werder Bremen,1. FC Nürnberg,2,1,1964
129,1963/1964,17,SC Preußen Münster,Eintracht Braunschweig,0,2,1964
130,1963/1964,17,Hertha BSC,VfB Stuttgart,0,2,1964
131,1963/1964,17,FC Schalke 04,1. FC Kaiserslautern,4,0,1964
132,1963/1964,17,Karlsruher SC,1. FC Cologne,2,2,1964
133,1963/1964,17,TSV 1860 München,Borussia Dortmund,6,1,1964
134,1963/1964,17,1. FC Saarbrücken,Hamburger SV,1,1,1964
135,1963/1964,17,Eintracht Frankfurt,Meidericher SV,2,2,1964
136,1963/1964,18,Borussia Dortmund,FC Schalke 04,3,0,1964
137,1963/1964,18,Meidericher SV,SC Preußen Münster,0,0,1964
138,1963/1964,18,1. FC Kaiserslautern,Hertha BSC,3,0,1964
139,1963/1964,18,Eintracht Braunschweig,1. FC Saarbrücken,3,1,1964
140,1963/1964,18,VfB Stuttgart,SV Werder Bremen,2,0,1964
141,1963/1964,18,1. FC Nürnberg,Eintracht Frankfurt,1,0,1964
142,1963/1964,18,1. FC Cologne,TSV 1860 München,2,2,1964
143,1963/1964,18,Hamburger SV,Karlsruher SC,1,1,1964
144,1963/1964,19,1. FC Saarbrücken,Borussia Dortmund,2,1,1964
145,1963/1964,19,Eintracht Frankfurt,Hamburger SV,2,2,1964
146,1963/1964,19,Hertha BSC,Meidericher SV,5,2,1964
147,1963/1964,19,TSV 1860 München,VfB Stuttgart,1,1,1964
148,1963/1964,19,SC Preußen Münster,1. FC Nürnberg,0,1,1964
149,1963/1964,19,SV Werder Bremen,1. FC Kaiserslautern,2,0,1964
150,1963/1964,19,Karlsruher SC,Eintracht Braunschweig,3,1,1964
151,1963/1964,19,FC Schalke 04,1. FC Cologne,2,3,1964
152,1963/1964,20,Hamburger SV,FC Schalke 04,3,1,1964
153,1963/1964,20,1. FC Nürnberg,1. FC Saarbrücken,2,0,1964
154,1963/1964,20,Borussia Dortmund,Karlsruher SC,3,2,1964
155,1963/1964,20,1. FC Kaiserslautern,TSV 1860 München,2,1,1964
156,1963/1964,20,Eintracht Braunschweig,Eintracht Frankfurt,0,3,1964
157,1963/1964,20,VfB Stuttgart,SC Preußen Münster,0,3,1964
158,1963/1964,20,1. FC Cologne,Hertha BSC,3,1,1964
159,1963/1964,20,Meidericher SV,SV Werder Bremen,1,0,1964
160,1963/1964,21,Karlsruher SC,1. FC Nürnberg,1,3,1964
161,1963/1964,21,TSV 1860 München,Meidericher SV,0,0,1964
162,1963/1964,21,1. FC Saarbrücken,VfB Stuttgart,0,1,1964
163,1963/1964,21,Eintracht Frankfurt,Borussia Dortmund,2,1,1964
164,1963/1964,21,SV Werder Bremen,1. FC Cologne,1,1,1964
165,1963/1964,21,SC Preußen Münster,1. FC Kaiserslautern,1,0,1964
166,1963/1964,21,Hertha BSC,Hamburger SV,1,2,1964
167,1963/1964,21,FC Schalke 04,Eintracht Braunschweig,2,0,1964
168,1963/1964,22,1. FC Kaiserslautern,1. FC Saarbrücken,2,4,1964
169,1963/1964,22,Borussia Dortmund,SC Preußen Münster,0,0,1964
170,1963/1964,22,Meidericher SV,FC Schalke 04,3,0,1964
171,1963/1964,22,VfB Stuttgart,Karlsruher SC,4,1,1964
172,1963/1964,22,1. FC Nürnberg,TSV 1860 München,2,2,1964
173,1963/1964,22,Hamburger SV,SV Werder Bremen,1,1,1964
174,1963/1964,22,1. FC Cologne,Eintracht Frankfurt,1,1,1964
175,1963/1964,22,Eintracht Braunschweig,Hertha BSC,1,1,1964
176,1963/1964,23,SC Preußen Münster,1. FC Cologne,0,2,1964
177,1963/1964,23,FC Schalke 04,1. FC Nürnberg,4,1,1964
178,1963/1964,23,Eintracht Frankfurt,VfB Stuttgart,3,2,1964
179,1963/1964,23,1. FC Saarbrücken,Meidericher SV,0,2,1964
180,1963/1964,23,Karlsruher SC,1. FC Kaiserslautern,5,1,1964
181,1963/1964,23,Hertha BSC,Borussia Dortmund,0,0,1964
182,1963/1964,23,TSV 1860 München,Hamburger SV,9,2,1964
183,1963/1964,23,SV Werder Bremen,Eintracht Braunschweig,2,3,1964
184,1963/1964,24,Borussia Dortmund,VfB Stuttgart,7,1,1964
185,1963/1964,24,1. FC Kaiserslautern,1. FC Nürnberg,3,1,1964
186,1963/1964,24,TSV 1860 München,SC Preußen Münster,3,1,1964
187,1963/1964,24,Eintracht Frankfurt,Hertha BSC,4,0,1964
188,1963/1964,24,Karlsruher SC,1. FC Saarbrücken,2,2,1964
189,1963/1964,24,SV Werder Bremen,FC Schalke 04,1,0,1964
190,1963/1964,24,Meidericher SV,1. FC Cologne,2,2,1964
191,1963/1964,24,Eintracht Braunschweig,Hamburger SV,2,1,1964
192,1963/1964,25,1. FC Cologne,Eintracht Braunschweig,4,1,1964
193,1963/1964,25,VfB Stuttgart,1. FC Kaiserslautern,4,0,1964
194,1963/1964,25,Hamburger SV,Meidericher SV,3,3,1964
195,1963/1964,25,FC Schalke 04,Eintracht Frankfurt,1,2,1964
196,1963/1964,25,1. FC Saarbrücken,TSV 1860 München,1,2,1964
197,1963/1964,25,SC Preußen Münster,Karlsruher SC,0,0,1964
198,1963/1964,25,1. FC Nürnberg,Borussia Dortmund,4,0,1964
199,1963/1964,25,Hertha BSC,SV Werder Bremen,5,2,1964
200,1963/1964,26,1. FC Nürnberg,VfB Stuttgart,0,0,1964
201,1963/1964,26,Hertha BSC,FC Schalke 04,1,0,1964
202,1963/1964,26,Karlsruher SC,TSV 1860 München,1,0,1964
203,1963/1964,26,1. FC Kaiserslautern,Borussia Dortmund,0,1,1964
204,1963/1964,26,SC Preußen Münster,1. FC Saarbrücken,2,1,1964
205,1963/1964,26,Meidericher SV,Eintracht Braunschweig,5,1,1964
206,1963/1964,26,Hamburger SV,1. FC Cologne,1,1,1964
207,1963/1964,26,Eintracht Frankfurt,SV Werder Bremen,7,0,1964
208,1963/1964,27,1. FC Cologne,1. FC Nürnberg,5,0,1964
209,1963/1964,27,VfB Stuttgart,Hamburger SV,2,2,1964
210,1963/1964,27,Borussia Dortmund,Meidericher SV,0,0,1964
211,1963/1964,27,TSV 1860 München,Eintracht Frankfurt,1,1,1964
212,1963/1964,27,FC Schalke 04,SC Preußen Münster,1,2,1964
213,1963/1964,27,Eintracht Braunschweig,1. FC Kaiserslautern,0,1,1964
214,1963/1964,27,1. FC Saarbrücken,Hertha BSC,3,0,1964
215,1963/1964,27,SV Werder Bremen,Karlsruher SC,0,0,1964
216,1963/1964,28,Hamburger SV,1. FC Kaiserslautern,7,3,1964
217,1963/1964,28,TSV 1860 München,FC Schalke 04,7,1,1964
218,1963/1964,28,Karlsruher SC,Hertha BSC,1,1,1964
219,1963/1964,28,Eintracht Braunschweig,VfB Stuttgart,2,0,1964
220,1963/1964,28,Meidericher SV,1. FC Nürnberg,0,0,1964
221,1963/1964,28,1. FC Cologne,Borussia Dortmund,5,2,1964
222,1963/1964,28,1. FC Saarbrücken,SV Werder Bremen,3,2,1964
223,1963/1964,28,SC Preußen Münster,Eintracht Frankfurt,1,3,1964
224,1963/1964,29,Borussia Dortmund,Hamburger SV,5,2,1964
225,1963/1964,29,1. FC Kaiserslautern,1. FC Cologne,3,3,1964
226,1963/1964,29,Eintracht Frankfurt,1. FC Saarbrücken,3,1,1964
227,1963/1964,29,Hertha BSC,TSV 1860 München,3,1,1964
228,1963/1964,29,VfB Stuttgart,Meidericher SV,1,2,1964
229,1963/1964,29,SV Werder Bremen,SC Preußen Münster,4,2,1964
230,1963/1964,29,FC Schalke 04,Karlsruher SC,2,1,1964
231,1963/1964,29,1. FC Nürnberg,Eintracht Braunschweig,1,0,1964
232,1963/1964,30,Eintracht Braunschweig,Borussia Dortmund,2,0,1964
233,1963/1964,30,Karlsruher SC,Eintracht Frankfurt,1,2,1964
234,1963/1964,30,TSV 1860 München,SV Werder Bremen,3,2,1964
235,1963/1964,30,1. FC Saarbrücken,FC Schalke 04,1,1,1964
236,1963/1964,30,SC Preußen Münster,Hertha BSC,4,2,1964
237,1963/1964,30,Meidericher SV,1. FC Kaiserslautern,3,0,1964
238,1963/1964,30,1. FC Cologne,VfB Stuttgart,2,1,1964
239,1963/1964,30,Hamburger SV,1. FC Nürnberg,2,2,1964
240,1964/1965,1,1. FC Kaiserslautern,SV Werder Bremen,2,1,1965
241,1964/1965,1,Hamburger SV,VfB Stuttgart,2,2,1965
242,1964/1965,1,Borussia Dortmund,Hannover 96,0,2,1965
243,1964/1965,1,Eintracht Braunschweig,TSV 1860 München,1,1,1965
244,1964/1965,1,Karlsruher SC,Meidericher SV,2,1,1965
245,1964/1965,1,1. FC Nürnberg,Borussia Neunkirchen,2,0,1965
246,1964/1965,1,Eintracht Frankfurt,FC Schalke 04,2,2,1965
247,1964/1965,1,1. FC Cologne,Hertha BSC,2,3,1965
248,1964/1965,2,TSV 1860 München,Eintracht Frankfurt,0,1,1965
249,1964/1965,2,SV Werder Bremen,Eintracht Braunschweig,5,1,1965
250,1964/1965,2,Meidericher SV,1. FC Kaiserslautern,3,1,1965
251,1964/1965,2,Borussia Neunkirchen,Borussia Dortmund,1,2,1965
252,1964/1965,2,FC Schalke 04,Karlsruher SC,1,1,1965
253,1964/1965,2,Hertha BSC,Hamburger SV,0,0,1965
254,1964/1965,2,Hannover 96,1. FC Cologne,2,0,1965
255,1964/1965,2,VfB Stuttgart,1. FC Nürnberg,3,1,1965
256,1964/1965,3,1. FC Nürnberg,Hertha BSC,2,0,1965
257,1964/1965,3,1. FC Cologne,Borussia Neunkirchen,4,3,1965
258,1964/1965,3,Karlsruher SC,TSV 1860 München,1,5,1965
259,1964/1965,3,1. FC Kaiserslautern,FC Schalke 04,3,0,1965
260,1964/1965,3,Borussia Dortmund,VfB Stuttgart,1,0,1965
261,1964/1965,3,Eintracht Frankfurt,SV Werder Bremen,0,2,1965
262,1964/1965,3,Eintracht Braunschweig,Meidericher SV,0,1,1965
263,1964/1965,3,Hamburger SV,Hannover 96,3,0,1965
264,1964/1965,4,Hertha BSC,Borussia Dortmund,0,0,1965
265,1964/1965,4,Hannover 96,1. FC Nürnberg,2,2,1965
266,1964/1965,4,VfB Stuttgart,1. FC Cologne,3,3,1965
267,1964/1965,4,TSV 1860 München,1. FC Kaiserslautern,2,2,1965
268,1964/1965,4,FC Schalke 04,Eintracht Braunschweig,0,3,1965
269,1964/1965,4,Meidericher SV,Eintracht Frankfurt,1,3,1965
270,1964/1965,4,Borussia Neunkirchen,Hamburger SV,3,1,1965
271,1964/1965,4,SV Werder Bremen,Karlsruher SC,1,0,1965
272,1964/1965,5,Borussia Dortmund,TSV 1860 München,1,1,1965
273,1964/1965,5,Eintracht Frankfurt,Karlsruher SC,0,7,1965
274,1964/1965,5,1. FC Nürnberg,FC Schalke 04,3,2,1965
275,1964/1965,5,Hamburger SV,Meidericher SV,3,0,1965
276,1964/1965,5,1. FC Cologne,SV Werder Bremen,4,2,1965
277,1964/1965,5,VfB Stuttgart,Hertha BSC,1,1,1965
278,1964/1965,5,Eintracht Braunschweig,Borussia Neunkirchen,1,0,1965
279,1964/1965,5,1. FC Kaiserslautern,Hannover 96,1,0,1965
280,1964/1965,6,SV Werder Bremen,Hamburger SV,0,0,1965
281,1964/1965,6,TSV 1860 München,1. FC Nürnberg,2,0,1965
282,1964/1965,6,Meidericher SV,1. FC Cologne,0,3,1965
283,1964/1965,6,FC Schalke 04,Borussia Dortmund,2,6,1965
284,1964/1965,6,Borussia Neunkirchen,1. FC Kaiserslautern,0,3,1965
285,1964/1965,6,Hertha BSC,Eintracht Frankfurt,1,3,1965
286,1964/1965,6,Hannover 96,Eintracht Braunschweig,2,2,1965
287,1964/1965,6,Karlsruher SC,VfB Stuttgart,0,0,1965
288,1964/1965,7,1. FC Cologne,Eintracht Braunschweig,5,1,1965
289,1964/1965,7,Hertha BSC,TSV 1860 München,2,1,1965
290,1964/1965,7,Borussia Dortmund,1. FC Kaiserslautern,3,2,1965
291,1964/1965,7,1. FC Nürnberg,Karlsruher SC,4,1,1965
292,1964/1965,7,Hannover 96,SV Werder Bremen,1,2,1965
293,1964/1965,7,Hamburger SV,Eintracht Frankfurt,2,1,1965
294,1964/1965,7,VfB Stuttgart,FC Schalke 04,2,1,1965
295,1964/1965,7,Borussia Neunkirchen,Meidericher SV,4,2,1965
296,1964/1965,8,Eintracht Frankfurt,1. FC Cologne,1,4,1965
297,1964/1965,8,SV Werder Bremen,Borussia Neunkirchen,2,0,1965
298,1964/1965,8,1. FC Kaiserslautern,1. FC Nürnberg,3,2,1965
299,1964/1965,8,Meidericher SV,VfB Stuttgart,3,3,1965
300,1964/1965,8,Karlsruher SC,Hamburger SV,2,2,1965
301,1964/1965,8,FC Schalke 04,Hertha BSC,3,0,1965
302,1964/1965,8,TSV 1860 München,Hannover 96,4,0,1965
303,1964/1965,8,Eintracht Braunschweig,Borussia Dortmund,0,1,1965
304,1964/1965,9,Hannover 96,FC Schalke 04,1,0,1965
305,1964/1965,9,1. FC Cologne,Karlsruher SC,4,1,1965
306,1964/1965,9,Borussia Neunkirchen,TSV 1860 München,3,0,1965
307,1964/1965,9,VfB Stuttgart,SV Werder Bremen,1,1,1965
308,1964/1965,9,1. FC Nürnberg,Eintracht Braunschweig,3,2,1965
309,1964/1965,9,Borussia Dortmund,Eintracht Frankfurt,1,3,1965
310,1964/1965,9,Hamburger SV,1. FC Kaiserslautern,3,2,1965
311,1964/1965,9,Hertha BSC,Meidericher SV,2,2,1965
312,1964/1965,10,TSV 1860 München,VfB Stuttgart,1,0,1965
313,1964/1965,10,Eintracht Braunschweig,Hamburger SV,2,0,1965
314,1964/1965,10,Meidericher SV,Hannover 96,1,0,1965
315,1964/1965,10,SV Werder Bremen,Hertha BSC,5,1,1965
316,1964/1965,10,FC Schalke 04,Borussia Neunkirchen,1,1,1965
317,1964/1965,10,1. FC Kaiserslautern,1. FC Cologne,2,2,1965
318,1964/1965,10,Karlsruher SC,Borussia Dortmund,2,0,1965
319,1964/1965,10,Eintracht Frankfurt,1. FC Nürnberg,1,1,1965
320,1964/1965,11,Borussia Neunkirchen,Karlsruher SC,1,0,1965
321,1964/1965,11,Borussia Dortmund,Meidericher SV,0,0,1965
322,1964/1965,11,1. FC Nürnberg,Hamburger SV,2,3,1965
323,1964/1965,11,Hertha BSC,1. FC Kaiserslautern,5,3,1965
324,1964/1965,11,1. FC Cologne,TSV 1860 München,1,1,1965
325,1964/1965,11,SV Werder Bremen,FC Schalke 04,2,2,1965
326,1964/1965,11,VfB Stuttgart,Eintracht Braunschweig,3,1,1965
327,1964/1965,11,Hannover 96,Eintracht Frankfurt,3,2,1965
328,1964/1965,12,Eintracht Frankfurt,Borussia Neunkirchen,1,0,1965
329,1964/1965,12,Karlsruher SC,Hannover 96,2,3,1965
330,1964/1965,12,Eintracht Braunschweig,Hertha BSC,1,1,1965
331,1964/1965,12,FC Schalke 04,1. FC Cologne,2,3,1965
332,1964/1965,12,Hamburger SV,Borussia Dortmund,1,4,1965
333,1964/1965,12,Meidericher SV,1. FC Nürnberg,2,0,1965
334,1964/1965,12,TSV 1860 München,SV Werder Bremen,3,1,1965
335,1964/1965,12,1. FC Kaiserslautern,VfB Stuttgart,2,1,1965
336,1964/1965,13,1. FC Cologne,Hamburger SV,3,0,1965
337,1964/1965,13,Eintracht Braunschweig,1. FC Kaiserslautern,2,0,1965
338,1964/1965,13,Borussia Neunkirchen,Hannover 96,2,1,1965
339,1964/1965,13,VfB Stuttgart,Eintracht Frankfurt,1,2,1965
340,1964/1965,13,FC Schalke 04,TSV 1860 München,2,2,1965
341,1964/1965,13,1. FC Nürnberg,Borussia Dortmund,1,0,1965
342,1964/1965,13,Hertha BSC,Karlsruher SC,2,1,1965
343,1964/1965,13,SV Werder Bremen,Meidericher SV,1,0,1965
344,1964/1965,14,Hamburger SV,TSV 1860 München,3,2,1965
345,1964/1965,14,Hannover 96,VfB Stuttgart,2,1,1965
346,1964/1965,14,Meidericher SV,FC Schalke 04,2,1,1965
347,1964/1965,14,Borussia Dortmund,SV Werder Bremen,1,2,1965
348,1964/1965,14,Karlsruher SC,1. FC Kaiserslautern,6,1,1965
349,1964/1965,14,Borussia Neunkirchen,Hertha BSC,2,2,1965
350,1964/1965,14,Eintracht Frankfurt,Eintracht Braunschweig,2,2,1965
351,1964/1965,14,1. FC Nürnberg,1. FC Cologne,3,0,1965
352,1964/1965,15,TSV 1860 München,Meidericher SV,2,1,1965
353,1964/1965,15,FC Schalke 04,Hamburger SV,3,1,1965
354,1964/1965,15,SV Werder Bremen,1. FC Nürnberg,1,1,1965
355,1964/1965,15,Hertha BSC,Hannover 96,1,1,1965
356,1964/1965,15,VfB Stuttgart,Borussia Neunkirchen,3,2,1965
357,1964/1965,15,1. FC Kaiserslautern,Eintracht Frankfurt,0,1,1965
358,1964/1965,15,1. FC Cologne,Borussia Dortmund,3,3,1965
359,1964/1965,15,Eintracht Braunschweig,Karlsruher SC,3,0,1965
360,1964/1965,16,Hannover 96,Borussia Dortmund,2,0,1965
361,1964/1965,16,Hertha BSC,1. FC Cologne,1,3,1965
362,1964/1965,16,FC Schalke 04,Eintracht Frankfurt,1,1,1965
363,1964/1965,16,TSV 1860 München,Eintracht Braunschweig,2,0,1965
364,1964/1965,16,Meidericher SV,Karlsruher SC,1,1,1965
365,1964/1965,16,Borussia Neunkirchen,1. FC Nürnberg,1,1,1965
366,1964/1965,16,SV Werder Bremen,1. FC Kaiserslautern,1,1,1965
367,1964/1965,16,VfB Stuttgart,Hamburger SV,2,4,1965
368,1964/1965,17,1. FC Kaiserslautern,Meidericher SV,2,0,1965
369,1964/1965,17,Borussia Dortmund,Borussia Neunkirchen,5,1,1965
370,1964/1965,17,Karlsruher SC,FC Schalke 04,2,2,1965
371,1964/1965,17,Hamburger SV,Hertha BSC,4,1,1965
372,1964/1965,17,1. FC Cologne,Hannover 96,0,1,1965
373,1964/1965,17,1. FC Nürnberg,VfB Stuttgart,1,1,1965
374,1964/1965,17,Eintracht Braunschweig,SV Werder Bremen,1,1,1965
375,1964/1965,17,Eintracht Frankfurt,TSV 1860 München,4,1,1965
376,1964/1965,18,VfB Stuttgart,Borussia Dortmund,3,2,1965
377,1964/1965,18,SV Werder Bremen,Eintracht Frankfurt,2,2,1965
